code,year,happiness,food_insec,precipitation,indiv_free,gini,hdi,gdp_pc,family,corruption,air_deaths,life_expectancy,temperature,urbanization,covid,hri,suicides,taxes,schooling
SWE,2011,7.379463,85.297,1.4934874,11.9985,86.6,90.117,81.7581,4.5898585,0.157,0.991,0.2760662,42.370106,0.911,48947.4393112155,1.129,624.0,0.976,11.653
CHE,2022,7.2401,73.789,2.638,10.123,85.6,85.48174,83.306,7.114407,0.23440679605192308,0.984,0.326,27.461,0.956,72278.2072582055,0.843,1537.0,0.958,11.059
CHE,2021,7.5116,73.996,2.638,10.123,85.6,85.482,83.9872,5.452701,0.13254545387307692,0.984,0.326,28.611542,0.962,71044.8674356977,0.6,1537.0,0.958,11.059
CHE,2020,7.5715,73.915,2.638,10.123,85.6,85.482,83.067,6.6846256,0.30172804193773584,0.981,0.326,28.252186,0.956,67928.1915071394,0.5,1537.0,0.955,10.933773
CHE,2019,7.5599,73.849,2.3141341,9.83,85.6,85.482,83.7802,6.3426747,0.223,0.985,0.326,27.847593,0.962,69923.9312089954,0.5,1537.0,0.962,11.059
CHE,2018,7.4802,73.797,2.2961688,9.88,85.0,85.482,83.5615,6.86177,0.223,0.985,0.3314105,27.373043,0.959,69629.3366101135,0.7,1537.0,0.962,11.112429
CHE,2017,7.4873,73.761,2.2633636,10.3683,85.0,85.482,83.4125,5.968842,0.223,0.985,0.32676333,27.905273,0.957,68193.5054944094,0.8,1537.0,0.962,11.13
CHE,2016,7.494,73.739,2.4912755,9.76,86.0,85.482,83.4452,5.9876904,0.223,0.985,0.33042452,27.166899,0.956,67907.3938773543,1.3,1537.0,0.962,11.059
CHE,2015,7.509,73.718,2.8014615,10.5012,86.0,85.482,82.8468,6.475889,0.223,0.985,0.32306957,27.172234,0.954,67261.5940093857,1.5,1537.0,0.962,11.059
CHE,2014,7.587,73.696,2.9782465,10.0112,86.0,85.482,83.0849,6.31864,0.223,0.982,0.3252566,26.391132,0.952,66930.8686271126,0.843,1537.0,0.957,11.059
CHE,2011,7.498953,73.631,3.323306,10.5108,85.6,85.482,82.5707,6.394666,0.223,0.983,0.3171362,26.429737,0.943,65710.9150670028,0.843,1537.0,0.958,11.059
SYR,2018,3.4619,54.162,11.006091,2.1,13.0,,70.145,20.305826,,0.046,,,0.58,0.0,,252.0,0.068,
SYR,2017,3.4619,53.5,9.828341,1.98,14.0,,68.4811,19.76837,,0.044,,,0.572,0.0,,252.0,0.068,
SYR,2016,3.462,52.835,8.699122,1.83,13.0,,65.9933,20.059847,,0.044,,,0.56,0.0,,252.0,0.066,
SYR,2015,3.069,52.168,7.744206,1.95,18.0,,65.1239,19.619108,,0.041,,,0.556,0.0,,252.0,0.064,
SYR,2014,3.006,51.5,7.3492303,2.06,20.0,,63.1529,19.73269,,0.042,,,0.553,0.0,,252.0,0.065,
SYR,2011,4.735339,54.58,12.696295,1.8,15.6,,73.3053,18.301943,,0.108,,,0.691,0.0,,252.0,0.115,
TWN,2022,6.5354,,6.894,,62.0,90.77282,80.167,,0.2581718553846154,0.962,0.315,,,0.0,,,0.933,
TWN,2021,6.5125,,6.894,,62.0,90.823,81.0073,,0.02128756376923077,0.956,0.315,,,0.0,,,0.931,
TWN,2020,6.5844,,6.894,,62.0,90.823,80.8924,,-0.0682831510754717,0.956,0.315,,,0.0,,,0.931,
TWN,2019,6.4554,,6.57955,,62.0,90.823,80.6505,,0.07,0.96,0.315,,,0.0,,,0.946,
TWN,2018,6.4462,,6.6038055,,63.0,90.823,80.5344,,0.07,0.961,0.315,,,0.0,,,0.946,
TWN,2017,6.4406,,6.6393404,,63.0,90.823,80.1316,,0.07,0.964,0.315,,,0.0,,,0.946,
TWN,2016,6.422,,6.952408,,61.0,90.823,79.7716,,0.07,0.959,0.31482714,,,0.0,,,0.946,
TWN,2015,6.379,,7.2664537,,62.0,90.823,79.9471,,0.07,0.956,0.315,,,0.0,,,0.943,
TWN,2014,6.298,,7.294722,,61.0,90.87318,79.5875,,0.07,0.953,0.315,,,0.0,,,0.943,
TWN,2011,5.987677,,6.9192195,,62.0,90.823,78.9813,,0.07,0.96,0.315,,,0.0,,,0.94,
TJK,2022,5.3298,27.047,16.394,5.234,24.0,95.91666,69.643,1.3674227,0.08975931666730769,0.165,0.34,19.540518,0.663,4137.27759953736,,691.0,0.204,7.392
TJK,2021,5.3771,27.726,16.394,5.234,24.0,95.917,71.5942,0.6498899,0.14659497453846154,0.164,0.34,19.456646,0.685,3910.46271764751,,691.0,0.215,7.392
TJK,2020,5.4662,27.506,16.394,5.234,24.0,95.917,67.9942,0.00563248,0.2596986983018868,0.176,0.34,18.290098,0.664,3651.94266028498,,691.0,0.207,6.785475
TJK,2019,5.5557,27.309,15.940316,5.32,24.0,95.917,70.8674,0.67755383,0.165,0.183,0.34,19.93174,0.676,3575.2819562729,,691.0,0.199,7.392
TJK,2018,5.4673,27.134,16.065748,5.29,25.0,95.917,70.3532,0.4692203,0.165,0.193,0.34,20.620892,0.671,3405.11357765998,,691.0,0.202,7.721502
TJK,2017,5.3525,26.982,16.26487,5.29,21.0,95.917,69.9047,0.73165005,0.165,0.191,0.34,20.436415,0.665,3236.43934350302,,691.0,0.213,7.67
TJK,2016,5.041,26.851,16.357803,5.38,25.0,95.917,69.5493,1.2627428,0.165,0.162,0.34,20.587698,0.66,3091.22422270449,,691.0,0.198,7.392
TJK,2015,4.996,26.742,16.536207,5.19,26.0,95.917,69.3059,0.52312,0.165,0.182,0.33995718,22.0,0.657,2959.97072561653,,691.0,0.25,7.392
TJK,2014,4.786,26.655,16.637512,5.11,23.0,95.917,69.0693,-0.2979301,0.165,0.233,0.34,22.8,0.656,2858.21281715942,,691.0,0.302,7.392
TJK,2011,4.613789,26.521,16.95476,5.06,24.0,95.917,68.1485,0.16429885,0.165,0.281,0.34,19.398716,0.635,2481.55232237312,,691.0,0.344,7.392
TZA,2022,3.6938,32.907,13.565,8.351,33.0,,65.232,22.918297,0.19804985886538462,0.839,0.391,11.210762,0.53,2623.86157226563,24.629,1071.0,0.785,4.593
