entity,food_insec,precipitation,indiv_free,happiness,gini,hdi,gdp_pc,corruption,air_deaths,life_expectancy,temperature,urbanization,hri,suicides,taxes,schooling
Japan,91.616,3.0738778,13.3694,73.0,84.2971,12.538892,0.967,,31.542133,0.923,41763.8208668096,0.7,1668.0,0.941,12.294594,5.8861
Jordan,90.979,9.829224,1.94,49.0,75.7743,20.51042,0.725,,14.764395,0.723,9584.50713792695,,111.0,0.629,7.5474086,4.9057
Kazakhstan,57.428,8.751044,19.41,31.0,71.4717,6.2723374,0.526,0.27792874,17.94093,0.814,25544.3447546416,0.5,250.0,0.459,11.797472,5.8088
Kenya,27.03,11.05333,11.0264,27.0,62.6765,25.078583,0.663,,14.370816,0.577,4464.8132109268,23.4,630.0,0.657,8.413991,4.5086
Kuwait,100.0,15.050318,2.56,41.0,79.7217,27.314392,0.688,,1.43778,0.836,48943.0062163049,4.9,121.0,0.56,7.432086,6.0207
Kyrgyzstan,36.351,12.650137,8.92,29.0,70.728,0.3484768,0.751,0.27690327,25.615664,0.698,,0.8,533.0,0.748,8.637445,5.2607
Laos,35.004,18.4029,6.18,29.0,67.6341,23.312098,0.156,0.38802433,12.807743,0.607,,,1834.0,0.137,6.309405,4.7963
Latvia,68.142,4.1937194,14.2948,58.0,75.0012,7.4917426,0.947,0.3509615,31.422691,0.866,30051.0787212025,0.6,667.0,0.937,11.557375,5.9397
Lebanon,88.593,9.699391,2.53,28.0,79.729,16.901045,0.635,,15.593365,0.75,17937.5684670156,4.2,661.0,0.707,6.579643,5.1973
Lesotho,28.153,9.23208,93.0725,41.0,53.733,11.732796,0.75,,31.496922,0.522,2501.42995489828,27.0,788.0,0.753,6.314051,3.8019
Liberia,51.151,13.508959,7.42,32.0,60.8532,25.363794,0.804,,11.519608,0.483,1521.73347067984,,2391.0,0.853,2.2065024,3.9753
Libya,80.102,10.75597,5.7,17.0,72.7938,23.637411,0.099,,,0.722,25734.168628333,16.7,56.0,0.342,,5.5253
